id,class,kind,in_set,four_way,a_in_degree,b_wdegree,c_in_wdeg,c_out_wdeg,place_in,community,label
G1096,G,person,True,I_person_entry,189,2333,232,130,0,10,"הרמב""ם (רבינו משה בר מיימון"
G0646,G,person,True,I_person_entry,168,2543,105,306,0,6,"מרן מהר""ר יוסף קארו"
S1268,S,book,True,III_book_entry,143,1772,36,162,0,5,סדר הדורות
G1321,G,person,True,I_person_entry,119,2065,135,125,0,1,"רש""י הוא רבינו שלמה יצחקי"
G0813,G,person,True,I_person_entry,113,1541,87,79,0,2,"רבינו האר""י (ר' יצחק לוריא"
G1108,G,person,True,I_person_entry,113,1756,123,152,0,0,"הרמב""ן (רבינו משה בן נחמן"
G0429,G,person,True,I_person_entry,103,1675,48,155,0,3,מה' חיים בנבנשת
S0029,S,book,True,III_book_entry,99,1335,95,39,0,6,אדרת אליהו
G0433,G,person,True,I_person_entry,97,1474,56,120,0,2,"מהר""ר חיים ויטאל"
G0236,G,person,True,I_person_entry,91,1630,71,97,0,0,רבינו אשר בן רבינו יחיאל
S0706,S,book,True,III_book_entry,90,1048,105,16,0,4,טורים
G1305,G,person,True,I_person_entry,88,1689,72,124,0,0,"הרשב""א (רבינו שלמה בן אברהם ן' אדרת"
O0228,O,book,False,IV_book_external,85,1273,85,7,0,0,"הש""ס (התלמוד)"
S1862,S,book,True,III_book_entry,80,884,85,4,0,4,שלחן ערוך
G0768,G,person,True,I_person_entry,71,1472,94,47,0,0,"הרי""ף"
S1692,S,book,True,III_book_entry,70,1532,5,97,0,1,קורא הדורות
S1814,S,book,True,III_book_entry,66,851,32,64,0,1,שבלי הלקט
S1955,S,book,True,III_book_entry,64,1164,35,77,0,0,תוספות
G0975,G,person,True,I_person_entry,62,1063,53,66,0,1,"מהר""ם (מאיר) מרוטנבורג"
S0208,S,book,True,III_book_entry,62,910,73,28,0,4,בית יוסף
G1455,G,person,True,I_person_entry,60,1135,37,81,0,0,"מהר""ר שמעון בר צמח (הרשב""ץ"
G1332,G,person,True,I_person_entry,59,1218,32,94,0,1,"מהר""ר שלמה לוריא"
G1044,G,person,True,I_person_entry,57,672,59,84,0,7,"מהר""ם איסרלס"
G1005,G,person,True,I_person_entry,56,496,25,59,0,2,"הרמ""ע (מנחם עזריה) מפאנו"
O0030,O,book,False,IV_book_external,56,621,53,5,0,4,אורח חיים
S1991,S,book,True,III_book_entry,56,811,54,8,0,0,תלמוד בבלי
S0533,S,book,True,III_book_entry,53,644,77,8,0,2,זהר
O0337,O,book,False,IV_book_external,52,476,62,4,0,4,יורה דעה
G0457,G,person,True,I_person_entry,51,295,24,51,0,3,"מהר""ר חיים שבתי"
O0680,O,book,False,IV_book_external,51,1142,30,65,0,1,ספר יוחסין
G0617,G,person,True,I_person_entry,50,685,24,61,0,3,"מהר""ר יוסף מטראני"
G0722,G,person,True,I_person_entry,48,914,60,62,0,1,רבינו יעקב בר מאיר
G0962,G,person,True,I_person_entry,48,721,20,67,0,2,"הרמ""ך"
S1164,S,book,True,III_book_entry,48,891,37,38,0,1,מרדכי
O1354,O,book,False,IV_book_external,42,466,10,37,0,1,שם הגדולים
G0338,G,person,True,I_person_entry,41,806,19,72,0,0,מה' דוד ן' זמרא
G1312,G,person,True,I_person_entry,40,473,12,52,0,15,"מהר""ש הלוי אלקבץ"
G1336,G,person,True,I_person_entry,39,518,12,62,0,6,"מהר""ר שלמה מטראני"
G0997,G,person,True,I_person_entry,38,474,9,53,0,9,"מהר""ר מנחם די לונזאנו"
S0013,S,book,True,III_book_entry,38,328,48,4,0,6,אבקת רוכל
S0839,S,book,True,III_book_entry,38,653,36,34,0,3,כנסת הגדולה
G0415,G,person,True,I_person_entry,36,625,22,49,0,13,"מהר""ר חזקיה די סילוא"
G1067,G,person,True,I_person_entry,36,298,14,41,0,2,"מהר""ר משה זכות"
G1296,G,person,True,I_person_entry,36,580,23,40,0,4,"מהר""ר שבתי הכהן"
S1003,S,book,True,III_book_entry,36,353,29,6,0,5,מדרש
G0172,G,person,True,I_person_entry,35,573,25,40,0,6,"מהר""ר אליה מזרחי"
G0269,G,person,True,I_person_entry,35,876,18,63,0,0,"מהר""ר בצלאל אשכנזי"
G0015,G,person,True,I_person_entry,34,289,16,37,0,2,מה' אברהם אזולאי
G1309,G,person,True,I_person_entry,34,398,12,39,0,6,מה' שלמה אלגאזי
O1301,O,book,False,IV_book_external,33,388,27,6,0,0,"שו""ת מהר""ם אלשקר"
S2045,S,book,True,III_book_entry,33,341,31,1,0,0,תלמוד
S1842,S,book,True,III_book_entry,32,918,16,39,0,0,שיטות מקובצות
O0694,O,book,False,IV_book_external,31,585,28,8,0,1,ספר מצוות גדול
O1016,O,person,False,II_person_external,31,573,11,39,0,7,רבי יום טוב ליפמן הלר
O1323,O,book,False,IV_book_external,31,379,13,14,0,1,"שו""ת מהרש""ל"
G0379,G,person,True,I_person_entry,30,532,27,20,0,1,רבינו האי גאון
G0570,G,person,True,I_person_entry,30,940,46,66,0,0,"הריטב""א"
S0329,S,book,True,III_book_entry,30,268,20,7,0,2,גנת ורדים
G0649,G,person,True,I_person_entry,29,603,21,40,0,1,"מהר""ר יוסף קולון"
G0881,G,person,True,I_person_entry,29,329,18,47,0,7,"מהר""ר ישעיה סגל הורוויץ"
G1051,G,person,True,I_person_entry,29,213,16,21,0,3,"מהר""ר משה בנבנשת"
G1162,G,person,True,I_person_entry,29,741,39,54,0,0,"הר""ן מפרש הרי""ף"
G0544,G,person,True,I_person_entry,28,324,16,31,0,3,"מהר""ר יהודה רוזאניס"
G1070,G,person,True,I_person_entry,28,558,17,37,0,11,"מהר""ם ן' חביב"
S0415,S,book,True,III_book_entry,28,401,25,13,0,6,"הגהות חדשות על ב""י"
G0011,G,person,True,I_person_entry,27,772,37,40,0,0,"הראב""ד השלישי"
G0060,G,person,True,I_person_entry,27,427,16,27,0,2,"מהר""ר אברהם יצחקי"
G1010,G,person,True,I_person_entry,26,298,8,23,0,1,רבינו מנחם מריקאנטי
